commit,score
improve Document Types. ,1
Disable cache for auto responder. Fixes cronjob issue,0
fix aggregation column,1
Adding flag allowing to turn off automatic TPU system initialization on startup.PiperOrigin-RevId: 577347953,0
"Update Yarn to v3.6.2 (#8401)Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>Co-authored-by: Alexander Brandes <mc.cache@web.de>",0
docs: add rowStatus parameter for memo api document (#1984)add missing parameters for memo api,0
Internal change only.PiperOrigin-RevId: 575528207,0
Show grey send button while message field is empty,1
chore(build): upgrade 1.1.1,0
Merge branch 'dev' of github.com:microweber/microweber into dev,0
Deleted translation using Weblate (Chinese (Simplified) (zh)),0
Fix #3590 ,1
XWIKI-21412: Move the Tour Application to xwiki-platformAdd 'xwiki-platform-core/xwiki-platform-tour/' from commit '446a3a523915e709d340e76b84d1d4cba388048a'git-subtree-dir: xwiki-platform-core/xwiki-platform-tourgit-subtree-mainline: f35b7b831b6af7009c4b20a198c127a3139ffc16git-subtree-split: 446a3a523915e709d340e76b84d1d4cba388048a,0
Merge branch 'patrik-validate-email-sender' into 'master'Validate email-sender before sending emails #176See merge request ikus-soft/rdiffweb!194,1
Backport fix from 2.0 ,1
"Switch to use `safeLoad` for loading YML files via `file.readYAML`. For previous behaviour please use the following:```readYAML('test/fixtures/utf8.yaml', null, {unsafeLoad: true});```",1
Updated refa + fixed 2 cases of exp backtracking (#2774) ,1
[SeoBundle] Fix deprecation: Passing id as string to method Pimcore\Model\Document::getById is deprecated,0
Merge branch 'patrik-fix-deb-version' into 'master'Fix Debian version #289 & add date to email notification #290See merge request ikus-soft/rdiffweb!357,0
Security check socket filenames reported by spawned application proce… …sses.,1
Added release notes,0
fix(db): correctly check Git path on case-insensitive file system (#7… ),1
fix(answer): fix incorrect cancel answer activity,1
chore: switch storage of selected date in DailyReview (#2399)Switch storage of selected date in DailyReview,0
"[FEATURE] Allow `Configuration/user.tsconfig`Similar to `Configuration/page.tsconfig`,default User TSconfig is now loaded fromextensions `Configuration/user.tsconfig` files.ExtensionManagementUtility::addUserTSConfig()is deprecated similar to the page TSconfigpatch from #101799.Resolves: #101807Related: #96614Related: #101799Releases: mainChange-Id: I11cb1a05b8a582ca8f2937077fefa810e36b92d4Reviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/80767Reviewed-by: Oliver Klee <typo3-coding@oliverklee.de>Reviewed-by: Stephan Großberndt <stephan.grossberndt@typo3.org>Tested-by: Oliver Klee <typo3-coding@oliverklee.de>Tested-by: core-ci <typo3@b13.com>Reviewed-by: Christian Kuhn <lolli@schwarzbu.ch>Tested-by: Stefan B�rk <stefan@buerk.tech>Reviewed-by: Stefan B�rk <stefan@buerk.tech>Tested-by: Christian Kuhn <lolli@schwarzbu.ch>",0
[MERGE #6279 @MikeHolman] September 2019 Security Update Merge pull request #6279 from MikeHolman:servicing/1909September 2019 Security Update that addresses the following issues in ChakraCore:CVE-2019-1138CVE-2019-1217CVE-2019-1237CVE-2019-1298CVE-2019-1300,1
fix shenyu-admin: add dashboard user permission (#2357) * refactor shenyu-common: code polish* refactor shenyu-common: code polish* refactor shenyu-data-sync-center: code polish* refactor shenyu-data-sync-center: code polish* refactor shenyu-admin: code polish* refactor shenyu-admin: add user permissions.* refactor shenyu-admin: ignore password in api.,1
bugs,1
fix: add test log,0
Added translation using Weblate (Russian),0
MDL-71623 core_search: fix user document visibility ,1
Use a `license` element in the `.nuspec` files,0
Message render improvements* Hide HTML Code for operators and show option to see it* Show inline survey notice for the operators,0
fix ln /app,0
Apply php-cs-fixer changes,0
TOUR-82: Tour resume button is visible when printing the page* Added necessary style to prevent the button from displaying on prints,0
"Change ESXi port naming to be stable (#14639)* Change ESXi port naming to be stableCurrently every time discovery runs against ESXi, the port names change generating a lot of log spam.This is because ESXi uses this as the ifDescr:```Device vmnic1000202 at 01:00.0 nmlx4_en```The poller parses this, and extracts the interface name, whereas discovery does not, causing the interface names to flip every 6 hours.https://github.com/librenms/librenms/blob/22.10.0/includes/polling/ports.inc.php#L578-L580This change gives the discovery process the same behaviour, so the naming is now stable.* Try to fix test data with a squash* vcsa test data* Synthesise VCSA ifName, use it in place of ifDescr* Refresh test data* Update ports.inc.php---------Co-authored-by: Tony Murray <murraytony@gmail.com>",1
[misc] Indicate Renovate it can also find dependencies on XWiki's Nexus public proxy,0
MDL-42189 gradereport_overview: Report hidden from suspended enrolments,1
refactor: Bump minimatch from 3.0.4 to 3.1.2 (#8336),0
Fix `tf.raw_ops.ResourceCountUpTo` null pointer dereference. PiperOrigin-RevId: 368294347Change-Id: I2c16fbfc9b4966c402c3d8e311f0d665a9c852d8,1
MDL-79481 question: replace hard-coded template language strings.,0
Avoid ReDOS on float dynamic typing (#779) Fixes #777,1
"Bump matrix-auth from 3.1.9 to 3.1.10 (#8276)Signed-off-by: dependabot[bot] <support@github.com>Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
fix(parse): treat backslash as forwardslash in scheme delimiter make `https:/\attacker.com` like `https:\/attacker.com` result in `https://attacker.com/`,1
fix: correct the copyright statement in the license,1
fix typo,0
Adapter tests failing with Jakarta error (#24177)Fixes #24176,1
"[BUGFIX] Allow file links in siteConfiguration/static-routeDuring the migration to the specific TCA type `link`with #97159 the allowed link types for the field inthe siteConfiguration->static-routes have been addedincorrectly.This change re-adds the file link-type as allowedlink type to that field.Resolves: #101837Related: #97159Releases: main, 12.4Change-Id: Iee40a86fe115749482c2aa0faa2c887adb4d025bReviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/80866Reviewed-by: Stefan Bürk <stefan@buerk.tech>Tested-by: Stefan Bürk <stefan@buerk.tech>Tested-by: core-ci <typo3@b13.com>Tested-by: Oliver Klee <typo3-coding@oliverklee.de>Tested-by: Benjamin Franzke <ben@bnf.dev>Reviewed-by: Benjamin Franzke <ben@bnf.dev>Reviewed-by: Oliver Klee <typo3-coding@oliverklee.de>",1
fix: added missing closing bracket,1
Merge branch 'MDL-79458-master' of https://github.com/ferranrecio/moodle,0
Merge branch 'next-30810/fix-bulk-update-product-price' into 'trunk'NEXT-30810 - Fix can not update product price for product bullk editSee merge request shopware/6/product/platform!11609,1
update,0
check bounds in readAtomData Fixes #78,1
"Bump mina-sshd.version from 2.10.0 to 2.11.0 (#8625)Signed-off-by: dependabot[bot] <support@github.com>Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
Merge pull request #7441 from radarhere/python3.12Test Python 3.12 final in GitHub Actions,0
v2.10.6,0
"Bump @types/mocha from 10.0.1 to 10.0.2 in /js (#23571)Bumps [@types/mocha](https://github.com/DefinitelyTyped/DefinitelyTyped/tree/HEAD/types/mocha) from 10.0.1 to 10.0.2.- [Release notes](https://github.com/DefinitelyTyped/DefinitelyTyped/releases)- [Commits](https://github.com/DefinitelyTyped/DefinitelyTyped/commits/HEAD/types/mocha)---updated-dependencies:- dependency-name: ""@types/mocha""  dependency-type: direct:development  update-type: version-update:semver-patch...Signed-off-by: dependabot[bot] <support@github.com>Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
[lite] Add check for bias_size is zero to avoid division by zero. Thi… …s shouldn't happen for properly converted models. Just safety checkPiperOrigin-RevId: 416383645Change-Id: If8e508bf696ae8ecfb927e69c139a8ccf7fe60cb,1
Moodle release 4.3rc2,0
feat: added check for Sodium extension (#2624),0
Remove unused deps for '//third_party/tensorflow/lite:allocation' target.PiperOrigin-RevId: 575032090,0
Merge pull request #553 from answerdev/feat/1.2.0/uifix: useEditor ref,0
Fix prototype pollution when path components are not strings ,1
Missing csfr check ,1
update,0
Fix logging on cluster connection error Remove the client config from the error log since the wrapped error already contains the cluster name for which the connection couldn't be established.Signed-off-by: Stefan Prodan <stefan.prodan@gmail.com>,1
Merge branch 'patrik-branding' into 'master'Improve custom branding configurationSee merge request ikus-soft/rdiffweb!285,0
Compatibility processing of verification code components / 验证码组件的兼容处理,0
Merge branch 'patrik-test-sql-upgrade' into 'master'Improve testing of database upgradeSee merge request ikus-soft/rdiffweb!264,0
tfg-translate needs to call InitMlir PiperOrigin-RevId: 504566500,1
Add French translation for Build Step string (#8290),0
[XLA:GPU][NFC] Don't use the AutotuneResult::TritonGemmKey proto directlyThis will help me in a future CL and it looks like good engineering practice to separate the type of the storage layer from the type used in code.PiperOrigin-RevId: 577161319,0
Iframe style modal fix,0
"[BUGFIX] Enable ""hide_in_menu"" toggle in ContextMenu for custom doktypesSince TYPO3 v10 it is possible to use any number ofdoktype with ""pages.doktype"" and the limitation of customdoktypes ""less than 200"" was lifted.One part is still missing - the ContextMenu stillhas the limitation of only showing up for doktypesless than 200.This patch changes this behavior.Resolves: #101999Releases: main, 12.4Change-Id: I6971c9856297bc669d32cdf778be1883a1be54edReviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/81161Tested-by: Oliver Bartsch <bo@cedev.de>Tested-by: Benni Mack <benni@typo3.org>Reviewed-by: Nikita Hovratov <nikita.h@live.de>Tested-by: Nikita Hovratov <nikita.h@live.de>Reviewed-by: Oliver Bartsch <bo@cedev.de>Reviewed-by: Benni Mack <benni@typo3.org>Tested-by: core-ci <typo3@b13.com>",0
Update LDAP plugins,0
Fix regression causing wall of ping latency (#15486)Fix https://github.com/librenms/librenms/issues/15382,1
Bump VMware MIBs (#15029)As per https://kb.vmware.com/s/article/1013445,0
Add strict mode ,1
Remove path from 404 response (#3165) * Remove path from 404 response* Remove exception output,1
Rate limit everything under /accounts/ ,1
chore: add cors middleware,1
"feat: added possibility to delete bookmarks, closes #2552",1
"use exact matching of allowed domain entries, issue #489 (#493) * use exact matching of allowed domain entries, issue #489* update doc, add testcases from PR conversation* introduce AllowedDomainFunc #489* more tests, fix doc* lowercase origin before checking cors",1
Added release notes for #7336,0
force limit to 0 to display every unit,0
"XWIKI-18819: It's possible to save pretty much anything anywhere by c… …reating and using an SSX/JSX containing ""../"" in its reference",1
chore: removed unused methods,0
fix zip.Unzip path traversal vulnerability and add some new file util… …ity functions,1
[xla:gpu] Replace degenerate matmuls with memzeroWe also need to add a canonicalizer pass to replace gemm instructions with memzero.PiperOrigin-RevId: 577005429,1
fix: access control (#870) ,1
Improved SLA Policy elements ,1
Merge pull request #13526 from Godmartinz/asset-model-notifsAdded threshold notifications and min qty for Asset models,0
update,0
Fix CMYKColorProfile must not be accessed before initialization,0
"[BUGFIX] Restore file.crop syntax in PHP 8When using ""file.crop"" via TypoScript, PHP 8requires strict types for float values.Therefore, all values, which were stringsbefore, are now properly casted to floats,avoiding PHP errors.Example TypoScript:page.10 = IMAGEpage.10 {  file = 1:/myimage.jpg  file.ext = png  file.width = 200  file.height = 200  file.crop = 50,50,100,100}Resolves: #101994Releases: main, 12.4Change-Id: I73c2dc9128fded7874b506ddb37026077f5a67a6Reviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/81156Tested-by: Oliver Klee <typo3-coding@oliverklee.de>Tested-by: Oliver Bartsch <bo@cedev.de>Reviewed-by: Stefan Bürk <stefan@buerk.tech>Tested-by: Stefan Bürk <stefan@buerk.tech>Reviewed-by: Oliver Bartsch <bo@cedev.de>Reviewed-by: Oliver Klee <typo3-coding@oliverklee.de>Tested-by: core-ci <typo3@b13.com>",0
Release 3.9.16 ,1
Merge pull request from GHSA-5g4r-2qhx-vqfm Verify exact length of auth_data_len,1
add a flag for adding app data to tests generated via scripts/json-app-tool.php (#15080)* add a means to easily add in the app data section for when generating the test data* style fix* minor fix for where the data should be,0
Update AttachmentModel.class.php,0
"Add NextPowerOfTwoS64Using this will be nicer than casting to unsigned before calling NextPowerOfTwo or NextPowerOfTwo64.I used absl::bit_ceil in the implementation, because bit_ceil was added to the std namespace in c++20, so it's more standard than rolling our own solution.PiperOrigin-RevId: 577176208",0
NEXT-28996 - VUE3 - order module,0
Add time index for standared chat list,0
Merge branch 'next-30929/auto-imported-from-github' into 'trunk'NEXT-30929 - Nested query version_id field checkSee merge request shopware/6/product/platform!11576,0
immutable,0
